[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000952s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | SQL: SHOW COLUMNS FROM `hd_follow` [ RunTime:0.065469s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | SQL: SELECT `follow` FROM `hd_follow` WHERE ( `fans` = '2' )  [ RunTime:0.000293s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.006964s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.015766s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | SQL: SHOW COLUMNS FROM `hd_picture` [ RunTime:0.007691s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | SQL: SELECT COUNT(*) AS tp_count FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('2','5','5','4') ) LIMIT 1   [ RunTime:0.000408s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.uid IN ('2','5','5','4') ) ORDER BY weibo.time desc  [ RunTime:0.000700s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,weibo.uid AS uid,userinfo.username AS username,userinfo.face50 AS face,picture.mini AS mini,picture.medium AS medium,picture.max AS max FROM hd_weibo weibo LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid LEFT JOIN hd_picture picture ON weibo.id = picture.wid WHERE ( weibo.id = '1' ) LIMIT 1   [ RunTime:0.000738s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | INFO: Tag[ view_template ] --START--
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001428s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001517s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | INFO: Tag[ view_parse ] --START--
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | SQL: SELECT `style` FROM `hd_userinfo` WHERE ( `uid` = '2' ) LIMIT 1   [ RunTime:0.000306s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | SQL: SELECT `username` FROM `hd_userinfo` WHERE ( `uid` = '2' ) LIMIT 1   [ RunTime:0.000170s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | SQL: SHOW COLUMNS FROM `hd_group` [ RunTime:0.004997s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '2' )  [ RunTime:0.000287s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | SQL: SELECT * FROM `hd_group` WHERE ( `uid` = '2' )  [ RunTime:0.000368s ]
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 421 行.
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | NOTIC: [8] Undefined variable: face e9ca3d00a40c8a0e158f18fe2252bc69.php 第 422 行.
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | NOTIC: [8] Undefined variable: username e9ca3d00a40c8a0e158f18fe2252bc69.php 第 422 行.
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 426 行.
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | NOTIC: [8] Undefined variable: username e9ca3d00a40c8a0e158f18fe2252bc69.php 第 426 行.
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | NOTIC: [8] Undefined variable: uid e9ca3d00a40c8a0e158f18fe2252bc69.php 第 430 行.
[ 2015-07-21T14:28:28+08:00 ] /fweibo/index.php/Index/index | NOTIC: [8] Undefined variable: follow e9ca3d00a40c8a0e158f18fe2252bc69.php 第 430 行.
